clock_time,replicate,od_600nm,sampled
9:40,1,0.047,FALSE
9:41,2,0.041,FALSE
9:41,3,0.045,FALSE
9:42,4,0.042,FALSE
10:04,1,0.06,FALSE
10:05,2,0.04,FALSE
10:05,3,0.053,FALSE
10:06,4,0.048,FALSE
10:29,1,0.059,FALSE
10:30,2,0.045,FALSE
10:30,3,0.055,FALSE
10:31,4,0.053,FALSE
10:47,1,0.058,FALSE
10:47,2,0.05,FALSE
10:48,3,0.058,FALSE
10:48,4,0.054,FALSE
12:12,1,0.081,FALSE
12:12,2,0.064,FALSE
12:13,3,0.078,FALSE
13:17,1,0.105,TRUE
13:18,2,0.079,FALSE
13:18,3,0.107,TRUE
13:19,4,0.094,FALSE
13:42,1,0.114,FALSE
13:42,2,0.087,FALSE
13:43,3,0.112,FALSE
13:43,4,0.102,TRUE
14:05,1,0.121,FALSE
14:05,2,0.095,TRUE
14:06,3,0.122,FALSE
14:07,4,0.114,FALSE
14:30,1,0.133,FALSE
14:31,2,0.106,FALSE
14:32,3,0.133,FALSE
14:32,4,0.126,FALSE
14:53,1,0.149,TRUE
14:55,2,0.115,FALSE
14:56,3,0.155,TRUE
14:57,4,0.137,FALSE
15:32,1,0.18,FALSE
15:33,2,0.133,TRUE
15:33,3,0.177,FALSE
15:34,4,0.161,TRUE
15:53,1,0.193,FALSE
15:53,2,0.143,FALSE
15:54,3,0.188,FALSE
15:54,4,0.173,FALSE
16:06,1,0.194,TRUE
16:07,2,0.151,TRUE
16:08,3,0.199,TRUE
16:09,4,0.185,TRUE
16:30,1,0.213,TRUE
16:30,2,0.174,TRUE
16:31,3,0.22,TRUE
16:31,4,0.205,TRUE