generation,line,fitness
0,A-1,1
500,A-1,1.2243
1000,A-1,1.2209
1500,A-1,1.3299
2000,A-1,1.2316
2500,A-1,1.2763
3000,A-1,1.2483
3500,A-1,1.3962
4000,A-1,1.4306
4500,A-1,1.4056
5000,A-1,1.4562
5500,A-1,1.4066
6000,A-1,1.3815
6500,A-1,1.3676
7000,A-1,1.3675
7500,A-1,1.3509
8000,A-1,1.4575
8500,A-1,1.5014
9000,A-1,1.3386
9500,A-1,1.2864
10000,A-1,1.4434
0,A-2,1
500,A-2,1.116
1000,A-2,1.2938
1500,A-2,1.2285
2000,A-2,1.2514
2500,A-2,1.2887
3000,A-2,1.4941
3500,A-2,1.5036
4000,A-2,1.3796
4500,A-2,1.6358
5000,A-2,1.289
5500,A-2,1.42
6000,A-2,1.4939
6500,A-2,1.4896
7000,A-2,1.4748
7500,A-2,1.4011
8000,A-2,1.5104
8500,A-2,1.634
9000,A-2,1.3722
9500,A-2,1.3079
10000,A-3,1.4702
0,A-3,1
500,A-3,1.086
1000,A-3,1.2546
1500,A-3,1.3346
2000,A-3,1.2308
2500,A-3,1.2209
3000,A-3,1.2771
3500,A-3,1.4221
4000,A-3,1.3183
4500,A-3,1.4215
5000,A-3,1.4042
5500,A-3,1.419
6000,A-3,1.52
6500,A-3,1.4045
7000,A-3,1.4047
7500,A-3,1.3713
8000,A-3,1.4736
8500,A-3,1.4371
9000,A-3,1.4009
9500,A-3,1.4254
10000,A-3,1.3812
0,A-4,1
500,A-4,1.1921
1000,A-4,1.2601
1500,A-4,1.2249
2000,A-4,1.232
2500,A-4,1.278
3000,A-4,1.3477
3500,A-4,1.368
4000,A-4,1.4037
4500,A-4,1.5035
5000,A-4,1.3469
5500,A-4,1.4906
6000,A-4,1.5412
6500,A-4,1.3685
7000,A-4,1.3407
7500,A-4,1.3625
8000,A-4,1.4161
8500,A-4,1.4877
9000,A-4,1.4417
9500,A-4,1.5264
10000,A-4,1.5314
0,A-5,1
500,A-5,1.0869
1000,A-5,1.1619
1500,A-5,1.1532
2000,A-5,1.2611
2500,A-5,1.2214
3000,A-5,1.2438
3500,A-5,1.3338
4000,A-5,1.2935
4500,A-5,1.3553
5000,A-5,1.3939
5500,A-5,1.336
6000,A-5,1.36
6500,A-5,1.2924
7000,A-5,1.3519
7500,A-5,1.3532
8000,A-5,1.3916
8500,A-5,1.4059
9000,A-5,1.3472
9500,A-5,1.3259
10000,A-5,1.5009
0,A-6,1
500,A-6,1.0662
1000,A-6,1.1937
1500,A-6,1.249
2000,A-6,1.2483
2500,A-6,1.2248
3000,A-6,1.3256
3500,A-6,1.2928
4000,A-6,1.3395
4500,A-6,1.4425
5000,A-6,1.4794
5500,A-6,1.4805
6000,A-6,1.4075
6500,A-6,1.3412
7000,A-6,1.3607
7500,A-6,1.3305
8000,A-6,1.445
8500,A-6,1.367
9000,A-6,1.4057
9500,A-6,1.4375
10000,A-6,1.5652
0,A+1,1
500,A+1,1.1565
1000,A+1,1.1251
1500,A+1,1.2194
2000,A+1,1.2204
2500,A+1,1.2989
3000,A+1,1.4745
3500,A+1,1.276
4000,A+1,1.4125
4500,A+1,1.4692
5000,A+1,1.5416
5500,A+1,1.5832
6000,A+1,1.4437
6500,A+1,1.4241
7000,A+1,1.2952
7500,A+1,1.4277
8000,A+1,1.4956
8500,A+1,1.3858
9000,A+1,1.3423
9500,A+1,1.418
10000,A+1,1.4771
0,A+2,1
500,A+2,1.1403
1000,A+2,1.1848
1500,A+2,1.2311
2000,A+2,1.1524
2500,A+2,1.3541
3000,A+2,1.1707
3500,A+2,1.3147
4000,A+2,1.3865
4500,A+2,1.4753
5000,A+2,1.4165
5500,A+2,1.5603
6000,A+2,1.4134
6500,A+2,1.451
7000,A+2,1.384
7500,A+2,1.3658
8000,A+2,1.4666
8500,A+2,1.4246
9000,A+2,1.4664
9500,A+2,1.6069
10000,A+3,1.6144
0,A+3,1
500,A+3,1.1712
1000,A+3,1.1599
1500,A+3,1.3055
2000,A+3,1.1561
2500,A+3,1.2849
3000,A+3,1.4341
3500,A+3,1.3154
4000,A+3,1.3606
4500,A+3,1.5136
5000,A+3,1.5259
5500,A+3,1.5441
6000,A+3,1.5566
6500,A+3,1.4384
7000,A+3,1.4627
7500,A+3,1.508
8000,A+3,1.466
8500,A+3,1.5162
9000,A+3,1.4422
9500,A+3,1.4737
10000,A+3,1.6181
0,A+4,1
500,A+4,1.0911
1000,A+4,1.212
1500,A+4,1.2588
2000,A+4,1.2482
2500,A+4,1.2652
3000,A+4,1.4078
3500,A+4,1.3632
4000,A+4,1.4238
4500,A+4,1.5622
5000,A+4,1.4718
5500,A+4,1.4118
6000,A+4,1.5583
6500,A+4,1.3793
7000,A+4,1.4927
7500,A+4,1.4574
8000,A+4,1.4224
8500,A+4,1.5325
9000,A+4,1.3956
9500,A+4,1.6614
10000,A+4,1.5771
0,A+5,1
500,A+5,1.1724
1000,A+5,1.14
1500,A+5,1.2053
2000,A+5,1.2218
2500,A+5,1.3081
3000,A+5,1.3928
3500,A+5,1.3859
4000,A+5,1.4021
4500,A+5,1.5012
5000,A+5,1.4146
5500,A+5,1.4495
6000,A+5,1.5965
6500,A+5,1.4312
7000,A+5,1.3775
7500,A+5,1.3257
8000,A+5,1.4703
8500,A+5,1.497
9000,A+5,1.4221
9500,A+5,1.4619
10000,A+5,1.4681
0,A+6,1
500,A+6,1.2312
1000,A+6,1.2214
1500,A+6,1.3151
2000,A+6,1.2128
2500,A+6,1.3234
3000,A+6,1.3703
3500,A+6,1.4065
4000,A+6,1.349
4500,A+6,1.5717
5000,A+6,1.4788
5500,A+6,1.5074
6000,A+6,1.6272
6500,A+6,1.4581
7000,A+6,1.4422
7500,A+6,1.6444
8000,A+6,1.4125
8500,A+6,1.5837
9000,A+6,1.4787
9500,A+6,1.7832
10000,A+6,1.6492