peak_idx,retention_time,arrival_time,departure_time,area,height,detector,replicate,time_idx,compound,od_600nm,rel_area_phosphate,strain,carbon_source,medium_base,date
2,10.890999999999998,4.475,11.325,610219,17508,B,1,1,NaCl,0.102,0.31664076506163197,REL606,glucose,DM,2021-04-04
4,13.975999999999999,12.558,14.242,1927165,48976,B,1,1,phosphate,0.102,1.0,REL606,glucose,DM,2021-04-04
6,15.675,14.975,17.583,1170433,45672,B,1,1,glucose,0.102,0.6073340891931931,REL606,glucose,DM,2021-04-04
8,25.026,24.642,25.592,2692,97,B,1,1,acetate,0.102,0.0013968705326217526,REL606,glucose,DM,2021-04-04
1,10.884,10.425,11.792,249027,14529,B,1,2,NaCl,0.153,0.1476710530295079,REL606,glucose,DM,2021-04-04
2,13.925,12.55,14.192,1686363,45038,B,1,2,phosphate,0.153,1.0,REL606,glucose,DM,2021-04-04
4,15.67,14.967,17.275,1008567,40386,B,1,2,glucose,0.153,0.5980723011593589,REL606,glucose,DM,2021-04-04
6,25.03,24.558000000000003,25.65,4857,165,B,1,2,acetate,0.153,0.0028801628119212767,REL606,glucose,DM,2021-04-04
1,10.883,10.425,11.9,251897,14682,B,1,3,NaCl,0.205,0.14808028292547576,REL606,glucose,DM,2021-04-04
2,13.927999999999999,12.542,14.2,1701084,45243,B,1,3,phosphate,0.205,1.0,REL606,glucose,DM,2021-04-04
4,15.67,14.975,17.483,999678,39995,B,1,3,glucose,0.205,0.5876711555690372,REL606,glucose,DM,2021-04-04
6,25.033,24.583000000000002,25.616999999999997,5647,204,B,1,3,acetate,0.205,0.0033196479421357204,REL606,glucose,DM,2021-04-04
1,10.882,10.417,12.025,231399,13469,B,1,4,NaCl,0.251,0.14576911810562324,REL606,glucose,DM,2021-04-04
2,13.897,12.55,14.175,1587435,42985,B,1,4,phosphate,0.251,1.0,REL606,glucose,DM,2021-04-04
4,15.672,14.967,17.467,910013,36313,B,1,4,glucose,0.251,0.57326000749637,REL606,glucose,DM,2021-04-04
6,25.019000000000002,24.575,25.63300000000001,6158,222,B,1,4,acetate,0.251,0.003879213952067329,REL606,glucose,DM,2021-04-04
1,10.888,10.417,11.958,266512,15429,B,1,5,NaCl,0.297,0.14855393574955325,REL606,glucose,DM,2021-04-04
2,13.956,12.533,14.225,1794042,47002,B,1,5,phosphate,0.297,1.0,REL606,glucose,DM,2021-04-04
4,15.674000000000001,14.975,17.55,1036050,41417,B,1,5,glucose,0.297,0.577494841257897,REL606,glucose,DM,2021-04-04
6,25.031,24.525,25.717,8907,308,B,1,5,acetate,0.297,0.00496476671114723,REL606,glucose,DM,2021-04-04
1,10.883,10.408,11.933,236228,13724,B,1,6,NaCl,0.35200000000000004,0.14619571069800488,REL606,glucose,DM,2021-04-04
2,13.905999999999999,12.55,14.183,1615834,43550,B,1,6,phosphate,0.35200000000000004,1.0,REL606,glucose,DM,2021-04-04
4,15.672,14.975,17.5,899824,35908,B,1,6,glucose,0.35200000000000004,0.5568789863315168,REL606,glucose,DM,2021-04-04
6,25.026999999999997,24.525,25.666999999999998,9398,325,B,1,6,acetate,0.35200000000000004,0.005816191514722428,REL606,glucose,DM,2021-04-04
1,10.883,10.408,11.942,243522,14154,B,1,7,NaCl,0.391,0.14613088183670225,REL606,glucose,DM,2021-04-04
2,13.92,12.55,14.192,1666465,44547,B,1,7,phosphate,0.391,1.0,REL606,glucose,DM,2021-04-04
4,15.671,14.967,17.475,922829,36825,B,1,7,glucose,0.391,0.5537644054930647,REL606,glucose,DM,2021-04-04
6,25.028000000000002,24.50800000000001,25.675,10241,354,B,1,7,acetate,0.391,0.006145343586573975,REL606,glucose,DM,2021-04-04
1,10.885,10.417,11.308,254599,14715,B,2,1,NaCl,0.098,0.14684441870779866,REL606,glucose,DM,2021-04-04
3,13.939,12.575,14.208,1733801,45862,B,2,1,phosphate,0.098,1.0,REL606,glucose,DM,2021-04-04
5,15.673,14.975,17.492,1084259,43232,B,2,1,glucose,0.098,0.6253653100903737,REL606,glucose,DM,2021-04-04
7,25.026999999999997,24.642,25.592,2613,97,B,2,1,acetate,0.098,0.001507093374614503,REL606,glucose,DM,2021-04-04
1,10.89,10.4,11.908,300984,17470,B,2,2,NaCl,0.153,0.13258120700242182,REL606,glucose,DM,2021-04-04
2,14.026,12.542,14.975,2270186,52389,B,2,2,phosphate,0.153,1.0,REL606,glucose,DM,2021-04-04
3,15.674000000000001,14.975,17.65,1351192,53814,B,2,2,glucose,0.153,0.5951899976477698,REL606,glucose,DM,2021-04-04
5,25.026,24.592,25.541999999999998,4214,159,B,2,2,acetate,0.153,0.0018562355683631208,REL606,glucose,DM,2021-04-04
1,10.89,10.417,11.942,267968,15599,B,2,3,NaCl,0.197,0.1430888891024799,REL606,glucose,DM,2021-04-04
2,13.977,12.558,14.242,1872738,48445,B,2,3,phosphate,0.197,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.982999999999999,17.567,1175171,46745,B,2,3,glucose,0.197,0.6275149006428021,REL606,glucose,DM,2021-04-04
6,25.046999999999997,24.583000000000002,25.658,5622,196,B,2,3,acetate,0.197,0.0030020216389051754,REL606,glucose,DM,2021-04-04
1,10.885,10.417,11.975,240834,14026,B,2,4,NaCl,0.276,0.144446463690458,REL606,glucose,DM,2021-04-04
2,13.921,12.55,14.192,1667289,44557,B,2,4,phosphate,0.276,1.0,REL606,glucose,DM,2021-04-04
4,15.674000000000001,14.975,17.633,978848,38913,B,2,4,glucose,0.276,0.5870895807505477,REL606,glucose,DM,2021-04-04
6,25.033,24.558000000000003,25.642,6924,245,B,2,4,acetate,0.276,0.004152849326061648,REL606,glucose,DM,2021-04-04
1,10.883,10.417,11.875,231950,13534,B,2,5,NaCl,0.303,0.1450812786667659,REL606,glucose,DM,2021-04-04
2,13.902000000000001,12.558,14.175,1598759,43247,B,2,5,phosphate,0.303,1.0,REL606,glucose,DM,2021-04-04
4,15.674000000000001,14.967,17.767,915068,36379,B,2,5,glucose,0.303,0.5723614378402249,REL606,glucose,DM,2021-04-04
6,25.045,24.55,25.675,8516,291,B,2,5,acetate,0.303,0.00532663146853278,REL606,glucose,DM,2021-04-04
1,10.883,10.417,11.933,225768,13195,B,2,6,NaCl,0.35600000000000004,0.14560848853992933,REL606,glucose,DM,2021-04-04
2,13.889000000000001,12.55,14.167,1550514,42271,B,2,6,phosphate,0.35600000000000004,1.0,REL606,glucose,DM,2021-04-04
4,15.675,14.975,17.35,846981,33865,B,2,6,glucose,0.35600000000000004,0.5462582085682555,REL606,glucose,DM,2021-04-04
6,25.033,24.525,25.658,9069,313,B,2,6,acetate,0.35600000000000004,0.005849028128736664,REL606,glucose,DM,2021-04-04
1,10.885,10.417,12.017000000000001,244409,14236,B,2,7,NaCl,0.404,0.1427608487532542,REL606,glucose,DM,2021-04-04
2,13.936,12.55,14.2,1712017,45498,B,2,7,phosphate,0.404,1.0,REL606,glucose,DM,2021-04-04
4,15.675999999999998,14.958,17.4,983046,39277,B,2,7,glucose,0.404,0.5742034103633317,REL606,glucose,DM,2021-04-04
6,25.037,24.533,25.717,10898,373,B,2,7,acetate,0.404,0.0063655909958838025,REL606,glucose,DM,2021-04-04
1,10.895,10.417,11.308,256616,14966,B,3,1,NaCl,0.103,0.1399430010503251,REL606,glucose,DM,2021-04-04
3,13.978,12.567,14.242,1833718,47805,B,3,1,phosphate,0.103,1.0,REL606,glucose,DM,2021-04-04
5,15.687000000000001,14.982999999999999,17.108,1218915,49077,B,3,1,glucose,0.103,0.6647232562476891,REL606,glucose,DM,2021-04-04
7,25.054000000000002,24.683000000000003,25.558000000000003,2525,98,B,3,1,acetate,0.103,0.0013769838110331033,REL606,glucose,DM,2021-04-04
1,10.89,10.425,11.7,250612,14819,B,3,2,NaCl,0.15,0.13789232918484004,REL606,glucose,DM,2021-04-04
2,13.967,12.558,14.232999999999999,1817447,47471,B,3,2,phosphate,0.15,1.0,REL606,glucose,DM,2021-04-04
4,15.68,14.975,17.6,1194260,47840,B,3,2,glucose,0.15,0.6571085704287388,REL606,glucose,DM,2021-04-04
6,25.034000000000002,24.608,25.55,3323,124,B,3,2,acetate,0.15,0.0018283889433914717,REL606,glucose,DM,2021-04-04
1,10.886,10.417,11.817,228750,13456,B,3,3,NaCl,0.208,0.14282476478400213,REL606,glucose,DM,2021-04-04
2,13.905,12.55,14.183,1601613,43289,B,3,3,phosphate,0.208,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.967,17.508,957830,38287,B,3,3,glucose,0.208,0.5980408500680252,REL606,glucose,DM,2021-04-04
6,25.035999999999998,24.558000000000003,25.658,5507,193,B,3,3,acetate,0.208,0.0034384086542754086,REL606,glucose,DM,2021-04-04
1,10.886,10.417,11.75,238599,14046,B,3,4,NaCl,0.268,0.14050087062618544,REL606,glucose,DM,2021-04-04
2,13.933,12.558,14.2,1698203,45220,B,3,4,phosphate,0.268,1.0,REL606,glucose,DM,2021-04-04
4,15.677999999999999,14.982999999999999,17.633,1034545,41387,B,3,4,glucose,0.268,0.6091998424216657,REL606,glucose,DM,2021-04-04
6,25.041999999999998,24.566999999999997,25.658,7111,249,B,3,4,acetate,0.268,0.004187367470202326,REL606,glucose,DM,2021-04-04
1,10.885,10.417,11.892000000000001,230272,13559,B,3,5,NaCl,0.295,0.14209295107347833,REL606,glucose,DM,2021-04-04
2,13.911,12.542,14.183,1620573,43695,B,3,5,phosphate,0.295,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.975,17.575,951130,38001,B,3,5,glucose,0.295,0.5869096918188813,REL606,glucose,DM,2021-04-04
6,25.039,24.541999999999998,25.666999999999998,8347,285,B,3,5,acetate,0.295,0.005150647332764399,REL606,glucose,DM,2021-04-04
1,10.885,10.408,11.917,225388,13236,B,3,6,NaCl,0.366,0.1445102419232811,REL606,glucose,DM,2021-04-04
2,13.894,12.558,14.175,1559668,42477,B,3,6,phosphate,0.366,1.0,REL606,glucose,DM,2021-04-04
4,15.677999999999999,14.975,17.358,861842,34555,B,3,6,glucose,0.366,0.552580420961384,REL606,glucose,DM,2021-04-04
6,25.049,24.533,25.775,9713,329,B,3,6,acetate,0.366,0.006227607413885519,REL606,glucose,DM,2021-04-04
1,10.884,10.4,12.058,229247,13382,B,3,7,NaCl,0.395,0.1443424571972578,REL606,glucose,DM,2021-04-04
2,13.902000000000001,12.533,14.175,1588216,43066,B,3,7,phosphate,0.395,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.967,17.65,887771,35443,B,3,7,glucose,0.395,0.5589737164214439,REL606,glucose,DM,2021-04-04
6,25.038,24.50800000000001,25.7,10182,346,B,3,7,acetate,0.395,0.006410966770262987,REL606,glucose,DM,2021-04-04
